start_node_id,end_node_id,relationship_type,properties
ST00600,ST00590,PRECEDES,"{'type': 'FF', 'lag': 0}"
ST00490,ST00600,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00090,ST00600,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00500,ST00610,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00510,ST00620,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00530,ST00630,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00680,ST00640,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00720,ST00650,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00650,ST00660,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00660,ST00670,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00730,ST00680,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00790,ST00690,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00800,ST00690,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00810,ST00690,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00680,ST00700,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00480,ST00700,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00350,ST00710,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00710,ST00720,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00600,ST00730,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00610,ST00730,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00620,ST00730,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00630,ST00730,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00710,ST00730,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00720,ST00730,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00720,ST00740,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00530,ST00750,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00350,ST00760,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00740,ST00760,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00750,ST00760,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00100,ST00770,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00560,ST00770,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00340,ST00780,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00350,ST00790,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00140,ST00790,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00560,ST00790,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00350,ST00800,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00140,ST00800,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00560,ST00800,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00790,ST00810,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00350,ST00820,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00140,ST00820,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00720,ST00820,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00710,ST00820,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00350,ST00830,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00140,ST00830,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00560,ST00830,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00720,ST00840,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00110,ST00840,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00350,ST00850,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00560,ST00850,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00790,ST00850,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00800,ST00850,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00820,ST00850,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00830,ST00850,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00840,ST00850,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00850,ST00860,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00750,ST00860,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00840,ST00860,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00860,ST00870,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00110,ST00870,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00730,ST00880,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00140,ST00880,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00110,ST00880,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00720,ST00890,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00880,ST00890,PRECEDES,"{'type': 'FF', 'lag': 0}"
ST00890,ST00900,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00680,ST00910,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00890,ST00910,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00110,ST00910,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00770,ST00920,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST01210,ST00920,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST01220,ST00920,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST01230,ST00920,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00870,ST00920,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00900,ST00920,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00910,ST00920,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00110,ST00920,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST01200,ST00930,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00200,ST00930,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00180,ST00930,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00920,ST00930,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00570,ST00930,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00580,ST00930,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00590,ST00930,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00640,ST00930,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00930,ST00940,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00930,ST00950,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00690,ST00950,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00700,ST00950,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00940,ST00950,PRECEDES,"{'type': 'FF', 'lag': 0}"
ST00950,ST00960,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00070,ST00960,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00930,ST00970,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00940,ST00970,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00970,ST00980,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00960,ST00980,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00950,ST00980,PRECEDES,"{'type': 'FS', 'lag': 0}"
ST00940,ST00980,PRECEDES,"{'type': 'FS', 'lag': 0}"
